"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","安全测试","凭据管理","4","0","0","0","0"
"","安全测试","SQL注入防护","0","0","12","0","0"
"","安全测试","功能验证","0","0","3","0","0"
"","安全测试","配置验证","0","0","3","0","0"
"","数据验证","统计信息","0","0","1","0","0"
"","CI验证","环境检查","0","0","1","0","0"
"","CI验证","配置验证","0","0","1","0","0"
"","数据验证","基础检查","0","0","1","0","0"
"","CI验证","工具验证","0","0","1","0","0"
"","基础设施","数据库连接","0","0","2","0","0"
"","CI验证","依赖检查","0","0","1","0","0"
"","数据验证","范围检查","0","0","3","0","0"
"","CI验证","SQL文件检查","0","0","1","0","0"
